TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate,FraudLabel
SUP-00000116,AC00258,450.21,2023-01-05T14:26:35,TRANSFER,Mymensingh,POS,61,Engineer,1,82919.09,2023-01-01T03:21:51,0
SUP-00000117,AC00394,361.32,2023-01-05T14:53:17,DEBIT,Rajshahi,ATM,64,Engineer,1,14496.31,,0
SUP-00000118,AC00015,55.2,2023-01-05T16:19:16,TRANSFER,Dhaka,MOBILE,28,Engineer,1,114705.02,2023-01-04T08:30:33,0
SUP-00000119,AC00449,653.73,2023-01-05T17:15:48,DEBIT,Mymensingh,BRANCH,63,Teacher,1,33017.01,,0
SUP-00000120,AC00486,578.89,2023-01-05T17:20:48,CASH_WITHDRAWAL,Sylhet,ONLINE,26,Doctor,2,35550.28,,0
SUP-00000121,AC00559,983.18,2023-01-05T17:46:11,DEBIT,Khulna,ONLINE,53,Doctor,1,31919.21,,0
SUP-00000122,AC00499,422.11,2023-01-05T20:10:33,CREDIT,Sylhet,MOBILE,79,Retired,2,153252.94,,0
SUP-00000123,AC00527,1213.56,2023-01-05T20:49:47,DEBIT,Dhaka,ATM,23,Student,1,22026.95,,0
SUP-00000124,AC00460,725.84,2023-01-05T21:29:58,DEBIT,Dhaka,MOBILE,29,Business Owner,2,149242.83,,0
SUP-00000125,AC00120,40.75,2023-01-05T21:59:38,CREDIT,Mymensingh,BRANCH,55,Engineer,1,144220.42,,0
SUP-00000126,AC00386,47.01,2023-01-05T22:10:26,CREDIT,Mymensingh,ONLINE,50,Government Employee,1,92925.61,2023-01-04T12:58:16,0
SUP-00000127,AC00118,50.5,2023-01-05T22:55:49,TRANSFER,Chattogram,MOBILE,65,Business Owner,1,35824.15,,0
SUP-00000128,AC00576,184.24,2023-01-06T00:54:50,DEBIT,Chattogram,BRANCH,39,Doctor,1,36884.45,,0
SUP-00000129,AC00256,397.84,2023-01-06T01:01:30,CREDIT,Dhaka,POS,60,Government Employee,1,32031.05,,0
SUP-00000130,AC00562,2176.31,2023-01-06T01:14:10,DEBIT,Rajshahi,BRANCH,28,Student,7,34182.76,,1
SUP-00000131,AC00075,517.48,2023-01-06T02:04:45,TRANSFER,Khulna,POS,77,Retired,1,165835.74,,0
SUP-00000132,AC00038,132.41,2023-01-06T02:12:51,TRANSFER,Sylhet,MOBILE,22,Student,1,127124.02,,0
SUP-00000133,AC00191,354.07,2023-01-06T02:34:36,DEBIT,Rangpur,POS,37,Engineer,4,157919.09,,1
SUP-00000134,AC00322,1299.23,2023-01-06T03:11:36,TRANSFER,Khulna,BRANCH,59,Retired,7,117042.12,,1
SUP-00000135,AC00267,808.47,2023-01-06T03:29:31,TRANSFER,Rajshahi,MOBILE,24,Doctor,5,155521.33,,1
SUP-00000136,AC00404,146.46,2023-01-06T05:46:25,TRANSFER,Chattogram,POS,33,Government Employee,2,69308.1,,0
SUP-00000137,AC00449,867.48,2023-01-06T11:31:30,TRANSFER,Sylhet,BRANCH,63,Teacher,1,32149.53,2023-01-05T17:15:48,0
SUP-00000138,AC00001,226.45,2023-01-06T11:40:57,CASH_WITHDRAWAL,Barishal,MOBILE,48,Business Owner,1,65587.11,,1
SUP-00000139,AC00343,325.25,2023-01-06T12:48:51,TRANSFER,Khulna,ATM,29,Doctor,1,118393.83,2023-01-04T20:41:06,0
SUP-00000140,AC00052,295.3,2023-01-06T12:50:54,TRANSFER,Sylhet,POS,67,Engineer,1,98448.16,,0
SUP-00000141,AC00237,429.95,2023-01-06T13:16:34,CREDIT,Mymensingh,ATM,36,Engineer,1,112670.53,,0
SUP-00000142,AC00206,176.71,2023-01-06T15:04:49,DEBIT,Barishal,ATM,25,Student,1,11095.18,,0
SUP-00000143,AC00053,56.26,2023-01-06T15:41:32,CASH_WITHDRAWAL,Khulna,POS,27,Student,1,14876.35,,0
SUP-00000144,AC00047,336.8,2023-01-06T16:53:07,TRANSFER,Rangpur,BRANCH,56,Government Employee,1,138550.97,,0
SUP-00000145,AC00197,148.7,2023-01-06T19:17:45,CASH_WITHDRAWAL,Khulna,MOBILE,41,Engineer,1,65198.88,,0
SUP-00000146,AC00291,325.24,2023-01-06T21:37:01,DEBIT,Dhaka,ATM,25,Student,2,55058.99,,0
SUP-00000147,AC00592,54.25,2023-01-07T00:56:06,TRANSFER,Dhaka,MOBILE,43,Business Owner,1,93574.57,2023-01-01T05:39:24,0
SUP-00000148,AC00501,117.1,2023-01-07T05:32:32,CASH_WITHDRAWAL,Chattogram,ATM,40,Banker,2,150252.83,2023-01-04T09:11:15,0
SUP-00000149,AC00498,195.61,2023-01-07T08:08:59,TRANSFER,Rangpur,ATM,26,Government Employee,2,10761.31,2023-01-01T04:22:42,0
SUP-00000150,AC00387,715.85,2023-01-07T08:49:21,DEBIT,Dhaka,ONLINE,52,Engineer,1,151141.52,,0
SUP-00000151,AC00339,575.12,2023-01-07T09:50:54,TRANSFER,Sylhet,BRANCH,79,Retired,1,168166.27,,0
SUP-00000152,AC00571,630.64,2023-01-07T09:59:09,TRANSFER,Rajshahi,ONLINE,36,Business Owner,1,21840.89,2023-01-01T09:25:17,0
SUP-00000153,AC00492,105.49,2023-01-07T10:48:15,DEBIT,Mymensingh,BRANCH,71,Retired,1,57748.8,2023-01-05T05:09:39,0
SUP-00000154,AC00314,602.41,2023-01-07T12:40:48,TRANSFER,Rangpur,POS,69,Retired,3,95534.52,,0
SUP-00000155,AC00380,88.59,2023-01-07T13:52:25,CREDIT,Sylhet,BRANCH,66,Retired,1,157092.54,,0
SUP-00000156,AC00387,1493.27,2023-01-07T15:05:40,TRANSFER,Dhaka,ONLINE,52,Engineer,1,149648.25,2023-01-07T08:49:21,0
SUP-00000157,AC00501,223.38,2023-01-07T16:38:54,TRANSFER,Chattogram,ATM,40,Banker,1,150029.45,2023-01-07T05:32:32,0
SUP-00000158,AC00286,508.05,2023-01-07T17:33:33,DEBIT,Dhaka,BRANCH,29,Teacher,1,9799.17,,0
SUP-00000159,AC00300,108.46,2023-01-07T18:35:01,CREDIT,Mymensingh,BRANCH,47,Business Owner,1,68783.63,,0
SUP-00000160,AC00536,459.75,2023-01-07T20:46:38,TRANSFER,Chattogram,MOBILE,29,Government Employee,1,29642.33,2023-01-02T08:27:38,0
SUP-00000161,AC00256,1070.86,2023-01-07T21:01:52,CREDIT,Dhaka,POS,60,Government Employee,2,33101.91,2023-01-06T01:01:30,0
SUP-00000162,AC00497,989.48,2023-01-07T21:13:30,CASH_WITHDRAWAL,Chattogram,ONLINE,64,Doctor,6,76153.56,2023-01-02T11:39:17,1
SUP-00000163,AC00359,128.26,2023-01-07T23:22:05,CASH_WITHDRAWAL,Chattogram,BRANCH,59,Government Employee,2,87549.41,,0
SUP-00000164,AC00375,144.1,2023-01-07T23:56:00,CASH_WITHDRAWAL,Sylhet,MOBILE,62,Business Owner,1,69700.92,2023-01-05T06:59:58,0
SUP-00000165,AC00502,1131.49,2023-01-08T00:14:41,TRANSFER,Rajshahi,MOBILE,77,Retired,1,16268.75,,0
SUP-00000166,AC00130,89.23,2023-01-08T01:00:31,CASH_WITHDRAWAL,Rajshahi,MOBILE,54,Doctor,1,64126.28,2023-01-02T18:01:26,0
SUP-00000167,AC00015,218.62,2023-01-08T03:34:33,DEBIT,Dhaka,MOBILE,28,Engineer,1,114486.4,2023-01-05T16:19:16,0
SUP-00000168,AC00356,697.94,2023-01-08T05:28:26,CREDIT,Chattogram,ONLINE,51,Government Employee,1,144345.99,,0
SUP-00000169,AC00404,245.64,2023-01-08T05:46:46,DEBIT,Chattogram,POS,33,Government Employee,1,69062.46,2023-01-06T05:46:25,0
SUP-00000170,AC00305,103.3,2023-01-08T05:50:48,CREDIT,Sylhet,BRANCH,35,Engineer,1,83683.56,2023-01-02T03:21:05,0
SUP-00000171,AC00470,229.75,2023-01-08T06:14:29,DEBIT,Dhaka,MOBILE,55,Teacher,1,125845.21,,0
SUP-00000172,AC00170,90.47,2023-01-08T06:52:34,TRANSFER,Barishal,ONLINE,59,Doctor,2,109290.6,2023-01-03T21:40:37,0
SUP-00000173,AC00385,50.46,2023-01-08T07:40:32,CASH_WITHDRAWAL,Khulna,ATM,29,Doctor,3,43315.72,,0
SUP-00000174,AC00132,521.97,2023-01-08T07:58:38,DEBIT,Sylhet,ATM,43,Government Employee,1,172462.66,,0
SUP-00000175,AC00546,93.93,2023-01-08T12:55:43,CREDIT,Mymensingh,BRANCH,24,Government Employee,1,90936.46,,0
SUP-00000176,AC00389,1438.59,2023-01-08T13:05:53,DEBIT,Rajshahi,POS,54,Doctor,1,156071.26,,0
SUP-00000177,AC00196,474.94,2023-01-08T16:11:54,TRANSFER,Sylhet,POS,68,Retired,1,98114.21,2023-01-05T06:22:28,0
SUP-00000178,AC00421,77.64,2023-01-08T17:31:30,TRANSFER,Rajshahi,ONLINE,56,Government Employee,1,158320.19,,0
SUP-00000179,AC00273,69.43,2023-01-08T18:02:10,TRANSFER,Chattogram,ONLINE,46,Doctor,1,30543.52,,0
SUP-00000180,AC00053,55.86,2023-01-08T19:37:24,DEBIT,Khulna,POS,27,Student,1,14820.49,2023-01-06T15:41:32,0
SUP-00000181,AC00272,166.64,2023-01-08T20:02:02,CREDIT,Rangpur,BRANCH,46,Banker,1,70640.58,,0
SUP-00000182,AC00436,48.21,2023-01-08T20:06:37,DEBIT,Dhaka,POS,39,Engineer,1,107260.36,,0
SUP-00000183,AC00449,642.2,2023-01-08T21:51:13,DEBIT,Mymensingh,BRANCH,63,Teacher,1,31507.33,2023-01-06T11:31:30,0
SUP-00000184,AC00312,2997.76,2023-01-08T22:29:37,DEBIT,Mymensingh,ONLINE,79,Retired,1,145048.01,2023-01-04T05:20:19,1
SUP-00000185,AC00187,204.31,2023-01-08T23:04:33,TRANSFER,Chattogram,BRANCH,64,Government Employee,1,160140.21,,0
SUP-00000186,AC00316,355.66,2023-01-08T23:31:33,TRANSFER,Chattogram,POS,41,Business Owner,1,34528.67,,0
SUP-00000187,AC00392,347.99,2023-01-09T04:42:45,DEBIT,Rangpur,POS,33,Engineer,1,23068.12,,0
SUP-00000188,AC00287,1032.38,2023-01-09T05:21:11,DEBIT,Khulna,ONLINE,65,Government Employee,1,59514.55,,0
SUP-00000189,AC00579,752.1,2023-01-09T06:41:25,DEBIT,Barishal,ATM,26,Engineer,1,173928.93,,0
SUP-00000190,AC00354,196.47,2023-01-09T07:41:47,CASH_WITHDRAWAL,Mymensingh,ATM,54,Government Employee,1,12934.62,,0
SUP-00000191,AC00267,919.84,2023-01-09T09:08:44,TRANSFER,Chattogram,POS,24,Doctor,1,154601.49,2023-01-06T03:29:31,0
SUP-00000192,AC00484,140.05,2023-01-09T12:36:11,DEBIT,Sylhet,MOBILE,28,Government Employee,1,23491.06,,0
SUP-00000193,AC00444,553.83,2023-01-09T18:45:23,TRANSFER,Khulna,MOBILE,37,Engineer,1,160805.91,,0
SUP-00000194,AC00421,79.97,2023-01-09T19:03:03,TRANSFER,Rajshahi,ONLINE,56,Government Employee,1,158240.22,2023-01-08T17:31:30,0
SUP-00000195,AC00047,745.53,2023-01-09T19:04:26,TRANSFER,Rangpur,BRANCH,56,Government Employee,1,137805.44,2023-01-06T16:53:07,0
SUP-00000196,AC00526,675.24,2023-01-09T19:26:39,DEBIT,Rajshahi,ATM,19,Student,1,122748.56,,0
SUP-00000197,AC00426,36.09,2023-01-09T20:15:06,DEBIT,Rajshahi,POS,52,Doctor,1,92642.93,,0
SUP-00000198,AC00318,800.18,2023-01-09T21:49:35,CASH_WITHDRAWAL,Rajshahi,ATM,49,Doctor,2,34879.08,,0
SUP-00000199,AC00178,157.37,2023-01-09T21:58:31,DEBIT,Mymensingh,ATM,48,Business Owner,1,139644.13,,0
SUP-00000200,AC00077,557.62,2023-01-10T00:44:40,TRANSFER,Barishal,MOBILE,24,Doctor,1,173345.1,,0
SUP-00000201,AC00412,489.16,2023-01-10T02:23:14,DEBIT,Dhaka,MOBILE,34,Government Employee,2,163305.43,,0
SUP-00000202,AC00118,47.94,2023-01-10T04:37:38,CASH_WITHDRAWAL,Chattogram,MOBILE,65,Business Owner,1,35776.21,2023-01-05T22:55:49,0
SUP-00000203,AC00074,1271.89,2023-01-10T05:41:47,TRANSFER,Barishal,ATM,60,Doctor,1,38944.58,,0
